iteration,timesteps,fps,elapsed_time_min,mean_reward,median_reward,min_reward,max_reward,success_rate,value_loss,action_loss,learning_rate,mean_action_tokens_log_prob,reward_rollout_mean,reward_rollout_std,return_mean,return_std,value_pred_mean,value_pred_std,timestamp
0,1024,0,60.68,-13.8148,-16.0,-21.0,10.0,0.0185,7.983806,0.332107,9.960577449221733e-06,0.0,-0.7295,0.5523,-4.0418,1.9556,-0.4831,0.0631,2026-03-26T14:08:33.504229
1,2048,0,122.2,-14.1963,-17.0,-21.0,10.0,0.0187,7.857952,0.320931,9.842931514062591e-06,0.0,-0.7676,0.5349,-4.396,1.8467,-0.8122,0.1283,2026-03-26T15:10:04.827802
2,3072,0,183.41,-14.3625,-17.0,-21.0,10.0,0.0188,7.089755,0.328124,9.648917541198313e-06,0.0,-0.7646,0.5363,-4.4841,1.8837,-1.1464,0.0808,2026-03-26T16:11:17.186129
3,4096,0,244.52,-14.21,-17.0,-21.0,10.0,0.025,6.302598,0.32195,9.381595246879296e-06,0.0,-0.7246,0.644,-4.2933,2.1344,-1.3703,0.1369,2026-03-26T17:12:23.917833
4,5120,0,305.27,-14.395,-17.0,-21.0,10.0,0.015,5.868166,0.365558,9.04518046337755e-06,0.0,-0.793,0.4054,-4.6353,1.7093,-1.5861,0.18,2026-03-26T18:13:09.122959
5,6144,0,366.4,-13.64,-17.0,-21.0,10.0,0.03,5.802972,0.311165,8.644978652793348e-06,0.0,-0.7119,0.7265,-4.3235,2.4173,-1.8402,0.0867,2026-03-26T19:14:16.989957
6,7168,0,427.26,-13.885,-17.0,-21.0,10.0,0.025,4.785036,0.338586,8.187301236748575e-06,0.0,-0.7441,0.546,-4.5508,1.9767,-2.0737,0.1223,2026-03-26T20:15:08.528273
7,8192,0,487.21,-12.645,-17.0,-21.0,10.0,0.04,4.739319,0.310001,7.679366061497494e-06,0.0,-0.6543,0.8103,-4.0241,2.5547,-2.2182,0.1771,2026-03-26T21:15:05.120680
8,9216,0,546.1,-12.075,-16.0,-21.0,10.0,0.05,4.374775,0.311349,7.12918356817958e-06,0.0,-0.6846,0.734,-4.3045,2.4086,-2.4364,0.1785,2026-03-26T22:13:58.532223
9,10240,0,603.63,-12.025,-16.0,-21.0,10.0,0.04,4.123033,0.332358,6.545430463377549e-06,0.0,-0.7344,0.5503,-4.5639,2.0933,-2.5262,0.3003,2026-03-26T23:11:30.474228
10,11264,0,661.25,-12.16,-16.0,-21.0,10.0,0.035,4.021918,0.3191,5.937312882271331e-06,0.0,-0.7061,0.6502,-4.4251,2.2743,-2.6102,0.2666,2026-03-27T00:09:07.456794
11,12288,0,719.71,-12.08,-16.0,-21.0,10.0,0.03,3.893202,0.311527,5.314421202386803e-06,0.0,-0.7002,0.6521,-4.4301,2.2434,-2.6723,0.2653,2026-03-27T01:07:35.465165
12,13312,0,777.87,-12.32,-16.0,-21.0,10.0,0.025,3.571276,0.328571,4.686578797613198e-06,0.0,-0.7305,0.5519,-4.6461,2.0243,-2.8164,0.2867,2026-03-27T02:05:44.904814
13,14336,0,835.82,-12.17,-16.0,-21.0,10.0,0.035,3.759132,0.307611,4.06368711772867e-06,0.0,-0.6816,0.7347,-4.3856,2.4329,-2.9975,0.2827,2026-03-27T03:03:42.155108
