iteration,timesteps,fps,elapsed_time_min,mean_reward,median_reward,min_reward,max_reward,success_rate,value_loss,action_loss,learning_rate,mean_action_tokens_log_prob,reward_rollout_mean,reward_rollout_std,return_mean,return_std,value_pred_mean,value_pred_std,timestamp
0,512,0,25.56,-2.525,-2.0,-9.0,1.0,0.25,2.085123,-1.1e-05,9.842931514062591e-06,0.0,-0.3965,0.6658,-1.322,1.5971,-0.1104,0.0035,2026-03-19T17:19:39.832801
1,1021,1024,0,35.91,-2.625,-2.0,-9.0,1.0,0.2688,1.837529,0.309349,9.381595246879296e-06,-4.1836,-0.4082,0.6616,-1.4049,1.5763,-0.2678,0.0096,2026-03-19T17:30:01.6472,1532,1536,0,61.59,-2.59,-2.0,-8.0,1.0,0.28,1.617589,0.00504,8.644978652793348e-06,-3.3469,-0.418,0.6658,-1.4522,1.5905,-0.5733,0.0059,2026-03-19T17:55:42.3333,2043,2048,0,85.78,-2.445,-2.0,-10.0,1.0,0.275,1.294042,-0.004018,7.679366061497494e-06,-1.3669,-0.373,0.6763,-1.3002,1.5559,-0.8277,0.0078,2026-03-19T18:19:53.4,2560,0,111.22,-2.38,-1.0,-9.0,1.0,0.3,1.589946,-0.001197,6.545430463377549e-06,0.0,-0.4141,0.6683,-1.5483,1.7001,-0.9492,0.0112,2026-03-19T18:45:19.868862
5,3072,0,136.83,-2.225,-1.0,-9.0,1.0,0.28,1.255534,0.003603,5.314421202386803e-06,0.0,-0.3379,0.6832,-1.1665,1.5778,-1.0075,0.0158,2026-03-19T19:10:56.100405
6,3584,0,161.72,-2.06,-1.0,-9.0,1.0,0.295,1.236836,0.002277,4.06368711772867e-06,0.0,-0.3379,0.6746,-1.2912,1.559,-1.0416,0.0186,2026-03-19T19:35:49.728037
7,4096,0,186.44,-1.72,-0.5,-9.0,1.0,0.355,1.171093,-0.003251,2.8718164318204194e-06,0.0,-0.2793,0.684,-1.0895,1.5329,-1.1525,0.0292,2026-03-19T20:00:32.673436
8,4608,0,211.29,-1.56,-1.0,-8.0,1.0,0.305,1.069366,0.003803,1.8136987632514256e-06,0.0,-0.2832,0.6824,-1.0413,1.4641,-1.136,0.0292,2026-03-19T20:25:23.857158
9,5120,09,5120,0,236.48,-1.46,0.0,-9.0,1.0,0.365,1.154186,0.002559,9.558195366224508e-07,0.0,-0.291,0.6762,-1.0548,1.5317,-1.0586,0.0404,2026-03-19T20:50:35.38210,5632,0,262.0,-1.54,-1.0,-8.0,1.0,0.295,1.198052,0.002578,3.5208245880168744e-07,0.0,-0.2988,0.6757,-1.0739,1.5569,-0.9691,0.0492,2026-03-19T21:16:06.648257
11,6144,0,287.28,-1.575,-1.0,-8.0,1.0,0.305,1.101637,0.001825,4.042255077826842e-08,0.0,-0.2715,0.6984,-0.936,1.4923,-0.9861,0.0525,2026-03-19T21:41:22.889187
112,6656,0,312.6,-1.12,0.0,-9.0,1.0,0.43,1.297677,0.004023,4.042255077826786e-08,0.0,-0.2363,0.7028,-0.9534,1.622,-0.9601,0.0608,2026-03-19T22:06:42.751381
13,7168,0,338.19,-1.11,0.0,-7.0,1.0,0.395,1.04888,0.001759,3.5208245880168686e-07,0.0,-0.2031,0.678,-0.7578,1.4468,-0.9518,0.0572,2026-03-19T22:32:17.707145
8
