iteration,timesteps,fps,elapsed_time_min,mean_reward,median_reward,min_reward,max_reward,success_rate,policy_loss,value_loss,learning_rate,num_workers,worker_success_rates,timestamp
9,200,0,11.12,-11.4444,-16.0,-20.0,9.0,0.1111,-13.035156,0.416504,9.990134628777145e-06,4,"[np.float64(0.0), np.float64(0.3333), np.float64(0.0), np.float64(0.0)]",2026-04-01T02:09:26.577721
19,400,0,24.76,-14.0,-16.5,-21.0,9.0,0.0556,-0.480469,5.562012,9.938447858805392e-06,4,"[np.float64(0.0), np.float64(0.1667), np.float64(0.0), np.float64(0.0)]",2026-04-01T02:23:04.819882
29,600,0,39.77,-12.9032,-16.0,-21.0,9.0,0.0323,-8.635132,6.063477,9.879595851312768e-06,4,"[np.float64(0.0), np.float64(0.125), np.float64(0.0), np.float64(0.0)]",2026-04-01T02:38:05.560475
39,800,0,53.61,-12.2927,-15.0,-21.0,9.0,0.0244,-6.869141,1.536133,9.75530705321762e-06,4,"[np.float64(0.0), np.float64(0.1), np.float64(0.0), np.float64(0.0)]",2026-04-01T02:51:55.883893
49,1000,0,62.42,-6.6977,-1.0,-21.0,9.0,0.0116,1.794922,0.063202,9.648917541198313e-06,4,"[np.float64(0.0), np.float64(0.0476), np.float64(0.0), np.float64(0.0)]",2026-04-01T03:00:44.668263
59,1200,0,74.88,-6.3368,-1.0,-21.0,9.0,0.0105,1.782715,1.634399,9.455087117679746e-06,4,"[np.float64(0.0), np.float64(0.0435), np.float64(0.0), np.float64(0.0)]",2026-04-01T03:13:12.162510
69,1400,0,84.76,-6.3883,-2.0,-21.0,9.0,0.0097,-9.589844,1.001587,9.303779764006217e-06,4,"[np.float64(0.0), np.float64(0.04), np.float64(0.0), np.float64(0.0)]",2026-04-01T03:23:04.634578
79,1600,0,93.27,-6.0351,-2.0,-21.0,9.0,0.0088,-0.102783,0.211756,9.04518046337755e-06,4,"[np.float64(0.0), np.float64(0.0357), np.float64(0.0), np.float64(0.0)]",2026-04-01T03:31:35.354029
89,1800,0,101.95,-5.6667,-1.0,-21.0,9.0,0.0081,-7.375488,0.097107,8.85268095725756e-06,4,"[np.float64(0.0), np.float64(0.0333), np.float64(0.0), np.float64(0.0)]",2026-04-01T03:40:16.029718
99,2000,0,111.97,-5.4351,-1.0,-21.0,9.0,0.0076,-2.045868,0.251373,8.535680352542145e-06,4,"[np.float64(0.0), np.float64(0.0312), np.float64(0.0), np.float64(0.0)]",2026-04-01T03:50:17.538377
109,2200,0,123.19,-5.1773,-1.0,-21.0,9.0,0.0071,-0.21875,0.299735,8.306728670685598e-06,4,"[np.float64(0.0), np.float64(0.0294), np.float64(0.0), np.float64(0.0)]",2026-04-01T04:01:30.526565
119,2400,0,132.85,-4.9267,-1.0,-21.0,9.0,0.0067,0.076773,0.061418,7.93913236883622e-06,4,"[np.float64(0.0), np.float64(0.027), np.float64(0.0), np.float64(0.0)]",2026-04-01T04:11:10.389876
129,2600,0,142.6,-4.7107,-1.0,-21.0,9.0,0.0063,-0.183548,0.079777,7.679366061497494e-06,4,"[np.float64(0.0), np.float64(0.0256), np.float64(0.0), np.float64(0.0)]",2026-04-01T04:20:55.321699
139,2800,0,152.31,-4.5329,-1.0,-21.0,9.0,0.006,0.492676,0.002003,7.270225503447864e-06,4,"[np.float64(0.0), np.float64(0.0244), np.float64(0.0), np.float64(0.0)]",2026-04-01T04:30:38.168594
149,3000,0,162.06,-4.3146,-1.0,-21.0,9.0,0.0056,0.055908,0.521484,6.986040879228585e-06,4,"[np.float64(0.0), np.float64(0.0227), np.float64(0.0), np.float64(0.0)]",2026-04-01T04:40:22.967066
159,3200,0,171.9,-4.1774,-1.0,-21.0,9.0,0.0054,0.144775,0.000363,6.545430463377549e-06,4,"[np.float64(0.0), np.float64(0.0217), np.float64(0.0), np.float64(0.0)]",2026-04-01T04:50:13.179200
169,3400,0,181.37,-4.0204,-1.0,-21.0,9.0,0.0051,-1.19751,0.031624,6.243825090880689e-06,4,"[np.float64(0.0), np.float64(0.0204), np.float64(0.0), np.float64(0.0)]",2026-04-01T04:59:41.335231
179,3600,0,189.18,-3.895,-1.0,-21.0,-1.0,0.0,0.542053,0.005505,5.782594107968633e-06,4,"[np.float64(0.0), np.float64(0.0196), np.float64(0.0), np.float64(0.0)]",2026-04-01T05:07:30.024342
189,3800,0,196.07,-3.07,-1.0,-21.0,-1.0,0.0,-0.030441,0.11319,5.4709945124359105e-06,4,"[np.float64(0.0), np.float64(0.0185), np.float64(0.0), np.float64(0.0)]",2026-04-01T05:14:23.718556
199,4000,0,203.01,-2.575,-1.0,-21.0,-1.0,0.0,-0.063721,0.086967,5.000499999999998e-06,4,"[np.float64(0.0), np.float64(0.0179), np.float64(0.0), np.float64(0.0)]",2026-04-01T05:21:19.731778
209,4200,0,210.12,-2.055,-1.0,-20.0,-1.0,0.0,-0.873711,0.006462,4.686578797613196e-06,4,"[np.float64(0.0), np.float64(0.0172), np.float64(0.0), np.float64(0.0)]",2026-04-01T05:28:26.204345
219,4400,0,217.12,-1.675,-1.0,-20.0,-1.0,0.0,-0.935059,0.223009,4.218405892031364e-06,4,"[np.float64(0.0), np.float64(0.0167), np.float64(0.0), np.float64(0.0)]",2026-04-01T05:35:26.387172
229,4600,0,224.01,-1.62,-1.0,-20.0,-1.0,0.0,0.151367,0.064232,3.909892864637985e-06,4,"[np.float64(0.0), np.float64(0.0159), np.float64(0.0), np.float64(0.0)]",2026-04-01T05:42:20.050341
239,4800,0,230.81,-1.835,-1.0,-20.0,-1.0,0.0,-0.523926,1.715317,3.4555695366224507e-06,4,"[np.float64(0.0), np.float64(0.0154), np.float64(0.0), np.float64(0.0)]",2026-04-01T05:49:08.033995
249,5000,0,237.48,-2.075,-1.0,-21.0,-1.0,0.0,-0.314087,2.850098,3.160061298852953e-06,4,"[np.float64(0.0), np.float64(0.0149), np.float64(0.0), np.float64(0.0)]",2026-04-01T05:55:48.045079
259,5200,0,243.58,-2.4,-1.0,-21.0,-1.0,0.0,0.83054,0.129517,2.730774496552135e-06,4,"[np.float64(0.0), np.float64(0.0145), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:01:54.216444
269,5400,0,247.66,-2.535,-1.0,-21.0,-1.0,0.0,-1.19051,1.03363,2.4555474419560178e-06,4,"[np.float64(0.0), np.float64(0.0139), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:05:58.899887
279,5600,0,251.81,-2.62,-1.0,-21.0,-1.0,0.0,-0.665771,0.030121,2.0618676311637807e-06,4,"[np.float64(0.0), np.float64(0.0135), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:10:07.870582
289,5800,0,255.98,-2.46,-1.0,-21.0,-1.0,0.0,-0.451183,0.083355,1.8136987632514254e-06,4,"[np.float64(0.0), np.float64(0.0132), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:14:18.017084
299,6000,0,260.15,-2.375,-1.0,-21.0,-1.0,0.0,-0.374413,0.194068,1.4653196474578558e-06,4,"[np.float64(0.0), np.float64(0.0127), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:18:28.208514
309,6200,0,264.45,-2.375,-1.0,-21.0,-1.0,0.0,-0.002527,0.13837,1.250319707382517e-06,4,"[np.float64(0.0), np.float64(0.0123), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:22:46.549978
319,6400,0,268.63,-2.34,-1.0,-21.0,-1.0,0.0,4.5e-05,0.000384,9.558195366224506e-07,4,"[np.float64(0.0), np.float64(0.012), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:26:56.854367
329,6600,0,272.78,-2.3,-1.0,-21.0,-1.0,0.0,0.02271,0.278477,7.792825364526765e-07,4,"[np.float64(0.0), np.float64(0.0118), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:31:06.264840
339,6800,0,276.93,-2.3,-1.0,-21.0,-1.0,0.0,-0.410155,0.164432,5.459128823202551e-07,4,"[np.float64(0.0), np.float64(0.0114), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:35:15.106514
349,7000,0,281.06,-2.33,-1.0,-21.0,-1.0,0.0,-1.157486,0.141757,4.1218574889293734e-07,4,"[np.float64(0.0), np.float64(0.0111), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:39:22.865433
359,7200,0,285.35,-2.335,-1.0,-21.0,-1.0,0.0,-0.426659,0.140671,2.456929467823799e-07,4,"[np.float64(0.0), np.float64(0.0109), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:43:40.448979
369,7400,0,289.51,-2.34,-1.0,-21.0,-1.0,0.0,-1.846924,0.180719,1.5806848593740945e-07,4,"[np.float64(0.0), np.float64(0.0106), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:47:50.164220
379,7600,0,293.65,-2.335,-1.0,-21.0,-1.0,0.0,-1.402855,1.999146,6.255214119460925e-08,4,"[np.float64(0.0), np.float64(0.0103), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:51:58.278110
389,7800,0,297.79,-2.455,-1.0,-21.0,-1.0,0.0,0.035117,0.034837,2.318795796690155e-08,4,"[np.float64(0.0), np.float64(0.0101), np.float64(0.0), np.float64(0.0)]",2026-04-01T06:56:06.509166
399,8000,0,301.92,-2.455,-1.0,-21.0,-1.0,0.0,0.06665,0.001237,1e-09,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:00:14.426558
409,8200,0,306.18,-2.48,-1.0,-21.0,-1.0,0.0,-1.838745,0.172576,1.0865371222856343e-08,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:04:29.913031
419,8400,0,310.36,-2.475,-1.0,-21.0,-1.0,0.0,0.219036,0.51769,6.255214119460872e-08,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:08:40.777261
429,8600,0,314.48,-2.465,-1.0,-21.0,-1.0,0.0,-0.180176,0.001077,1.2140414868723221e-07,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:12:48.055595
439,8800,0,318.59,-2.465,-1.0,-21.0,-1.0,0.0,-3.088867,1.89156,2.4569294678237936e-07,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:16:54.967451
449,9000,0,322.73,-2.465,-1.0,-21.0,-1.0,0.0,-1.380304,1.007891,3.520824588016868e-07,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:21:03.362951
459,9200,0,326.96,-2.465,-1.0,-21.0,-1.0,0.0,1.543329,0.712846,5.459128823202557e-07,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:25:17.088762
469,9400,0,331.16,-2.465,-1.0,-21.0,-1.0,0.0,-0.236337,0.000259,6.972202359937836e-07,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:29:28.788304
479,9600,0,335.35,-2.465,-1.0,-21.0,-1.0,0.0,1.352783,0.182154,9.558195366224487e-07,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:33:40.039340
489,9800,0,339.44,-2.465,-1.0,-21.0,-1.0,0.0,-0.613303,0.040042,1.1483190427424417e-06,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:37:45.724004
499,10000,0,343.57,-2.465,-1.0,-21.0,-1.0,0.0,-0.091748,0.042189,1.4653196474578537e-06,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:41:53.351278
509,10200,0,347.83,-2.465,-1.0,-21.0,-1.0,0.0,0.240258,0.000445,1.694271329314402e-06,4,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",2026-04-01T07:46:08.985555
